child,testlanguage,age,narrative,complete,mode,test_lang_status,ling
ch2260or4,hrv,96,nar_3,0,telling,L1,Monolingual
ch2261or4,hrv,99,nar_1,0,telling,L1,Monolingual
ch2261or4,hrv,99,nar_2,0,telling,L1,Monolingual
ch2261or4,hrv,99,nar_3,0,telling,L1,Monolingual
ch2262or4,hrv,104,nar_1,0,telling,L1,Monolingual
ch2262or4,hrv,104,nar_2,0,telling,L1,Monolingual
ch2262or4,hrv,104,nar_3,0,telling,L1,Monolingual
ch2263or4,hrv,98,nar_1,0,telling,L1,Monolingual
ch2263or4,hrv,98,nar_2,0,telling,L1,Monolingual
ch2263or4,hrv,98,nar_3,0,telling,L1,Monolingual
ch2264or4,hrv,97,nar_1,0,telling,L1,Monolingual
ch2264or4,hrv,97,nar_2,0,telling,L1,Monolingual
ch2264or4,hrv,97,nar_3,0,telling,L1,Monolingual
ch2265or4,hrv,108,nar_1,1,telling,L1,Monolingual
ch2265or4,hrv,108,nar_2,0,telling,L1,Monolingual
ch2265or4,hrv,108,nar_3,0,telling,L1,Monolingual
ch2266or4,hrv,104,nar_1,0,telling,L1,Monolingual
ch2266or4,hrv,104,nar_2,0,telling,L1,Monolingual
ch2266or4,hrv,104,nar_3,1,telling,L1,Monolingual
ch2267or4,hrv,106,nar_1,0,telling,L1,Monolingual
ch2267or4,hrv,106,nar_2,0,telling,L1,Monolingual
ch2267or4,hrv,106,nar_3,0,telling,L1,Monolingual
ch2268or4,hrv,106,nar_1,0,telling,L1,Monolingual
ch2268or4,hrv,106,nar_2,1,telling,L1,Monolingual
ch2268or4,hrv,106,nar_3,1,telling,L1,Monolingual
ch2269or4,hrv,98,nar_1,1,telling,L1,Monolingual
ch2269or4,hrv,98,nar_2,0,telling,L1,Monolingual
ch2269or4,hrv,98,nar_3,0,telling,L1,Monolingual
ch2270or4,hrv,98,nar_1,0,telling,L1,Monolingual
ch2270or4,hrv,98,nar_2,0,telling,L1,Monolingual
ch2270or4,hrv,98,nar_3,0,telling,L1,Monolingual
ch2271or4,hrv,103,nar_1,0,telling,L1,Monolingual
ch2271or4,hrv,103,nar_2,0,telling,L1,Monolingual
ch2271or4,hrv,103,nar_3,0,telling,L1,Monolingual
ch972or5,rus,51,nar_1,0,retelling,L1,Bilingual
ch972or5,rus,51,nar_2,0,retelling,L1,Bilingual
ch972or5,rus,51,nar_3,1,retelling,L1,Bilingual
ch972or5,rus,51,nar_1,0,telling,L1,Bilingual
ch972or5,rus,51,nar_2,0,telling,L1,Bilingual
ch972or5,rus,51,nar_3,0,telling,L1,Bilingual
ch973or5,rus,48,nar_1,0,retelling,L1,Bilingual
ch973or5,rus,48,nar_2,0,retelling,L1,Bilingual
ch973or5,rus,48,nar_3,0,retelling,L1,Bilingual
ch973or5,rus,48,nar_1,0,telling,L1,Bilingual
ch973or5,rus,48,nar_2,0,telling,L1,Bilingual
ch973or5,rus,48,nar_3,0,telling,L1,Bilingual
ch974or5,rus,49,nar_1,0,telling,L1,Bilingual
ch974or5,rus,49,nar_2,0,telling,L1,Bilingual
ch974or5,rus,49,nar_3,1,telling,L1,Bilingual
ch974or5,rus,49,nar_1,0,retelling,L1,Bilingual
ch974or5,rus,49,nar_2,0,retelling,L1,Bilingual
ch974or5,rus,49,nar_3,0,retelling,L1,Bilingual
ch975or5,rus,50,nar_1,0,telling,L1,Bilingual
ch975or5,rus,50,nar_2,1,telling,L1,Bilingual
ch975or5,rus,50,nar_3,0,telling,L1,Bilingual
ch975or5,rus,50,nar_1,1,retelling,L1,Bilingual
ch975or5,rus,50,nar_2,0,retelling,L1,Bilingual
ch975or5,rus,50,nar_3,0,retelling,L1,Bilingual
ch976or5,rus,55,nar_1,0,retelling,L1,Bilingual
ch976or5,rus,55,nar_2,0,retelling,L1,Bilingual
ch976or5,rus,55,nar_3,0,retelling,L1,Bilingual
ch976or5,rus,55,nar_1,0,telling,L1,Bilingual
ch976or5,rus,55,nar_2,0,telling,L1,Bilingual
ch976or5,rus,55,nar_3,0,telling,L1,Bilingual
ch977or5,rus,57,nar_1,0,telling,L1,Bilingual
ch977or5,rus,57,nar_2,0,telling,L1,Bilingual
ch977or5,rus,57,nar_3,0,telling,L1,Bilingual
ch977or5,rus,57,nar_1,0,retelling,L1,Bilingual
ch977or5,rus,57,nar_2,1,retelling,L1,Bilingual
ch977or5,rus,57,nar_3,0,retelling,L1,Bilingual
ch978or5,rus,56,nar_1,0,telling,L1,Bilingual
ch978or5,rus,56,nar_2,1,telling,L1,Bilingual
ch978or5,rus,56,nar_3,1,telling,L1,Bilingual
ch978or5,rus,56,nar_1,0,retelling,L1,Bilingual
ch978or5,rus,56,nar_2,1,retelling,L1,Bilingual
ch978or5,rus,56,nar_3,0,retelling,L1,Bilingual
ch979or5,rus,51,nar_1,0,telling,L1,Bilingual
